Timestamp,ID,Gender,Ethnic_background,Age_group,Lobster_consumption,Conch_consumption,snook_consumption,barracuda_consumption,snapper_consumption,grouper_consumption,wrasses_consumption,jacks_consumption,species_difficult_to_find,Where_purchase_seafood,Lobster_price,Conch_price,snook_price,barracuda_price,snapper_price,grouper_price,wrasses_price,jacks_price,average_money_ spend_seafood,proportion_food_intake,willing_to_pay,initiatives_promoting_sustainable_practices,Site
10/28/2024 14:55:01,,,"Mestizo, Maya, Creole",35 - 44,10,8,,,5,,,,No,Fisher,,,,,,,,,,,,,
10/28/2024 14:56:25,SC 20,Male,East Indian,35 - 44,2,2,,3,3,,,3,,"Local markets, Supermarkets, Fisher, Restaurants",,,,,,,,,,,No,,
10/28/2024 14:57:52,,Male,"Mestizo, Maya",35 - 44,,1,,,5,8,,,"Goliath grouper, parrotfish",Fisher,,,,,9,12,,,,1%,Yes,Value added marketing,
10/28/2024 14:59:27,SC 23,Male,Creole,,x,x,x,x,,,,x,,"Fisher, Other",,,,,,,,,,,,,
10/28/2024 15:01:31,SC 15,Female,White,45 - 54,2,1,,,3,,,,"Hugfish, tuna","Local markets, Fisher, Restaurants",30,8,,,14 - 17,,,,100,10 - 20 %,Yes,Min-size lobster tail regulation,
10/28/2024 15:04:55,SC 52,Female,,>55,,,,,x,,,,,Other,,,,,,,,,0,1% (fully vegeterian),,"no-take zones, managed access, size limit, zoning, licensing, enforcement, marine protected areas, close seassons",
10/28/2024 15:06:32,,Male,Mestizo,18 - 24,,0.5,,,0.5,,,,,"Local markets, Restaurants",,,,,,,,,<100,0%,Yes,,
11/14/2024 11:28:48,PLA 29,Female,Mestizo,45 - 54,5,5,,20,20,,,,Mackerel,Fisher,15,15,,7,7,,,6,300,50,Yes,"Capacity building in alternative livelihoods, diversification and sustainable fishing practices",Placencia
11/14/2024 11:30:23,PLA 13,Male,Creole,>55,x,x,,x,x,x,,x,Snappers,"Fishboard, Fisher",30,10,10,5,8,8,,5,50,20,Yes,,Placencia
11/14/2024 11:32:33,PLA 66,Male,Creole,35 - 44,,,,20,20,20,,,,Fisher,,,,7,7,7,,,400,50,Yes,"Alternative or livelihood diversification, trainning done by SEA",Placencia
11/14/2024 11:34:07,PLA 64,Male,Creole,>55,,x,,x,,,,,Snappers and Jacks,Fisher,,12,,5,6,,,5,150,50,Yes,,Placencia
11/14/2024 11:35:31,PLA 63,Female,Creole,>55,,,x,x,x,,,,Snapper,Fishboard,,,8,5,6,,,,50,50,Yes,Protected areas (LBC),Placencia
11/14/2024 11:38:43,PLA 65,Male,Creole,>55,x,x,x,x,x,x,,x,,Other,,,,,,,,,"NA, he fish for subsistence",50,Yes,"I work for TIDE, we do protected area fisheries and ecosystem management in the Souther Barrier Reef Complex, as well as coastal ecosystems",Placencia
11/14/2024 11:40:24,PLA 74,Male,Creole,25 - 34,,,,,x,x,,x,"Wahoo, black fin tuna","Fishboard, Fisher",,,,,18,18,,14,2000,25,Yes,At the moment Im unaware of such programs,Placencia
11/14/2024 11:41:36,PLA 25,Male,Creole,>55,x,x,,x,x,x,,,,,,,,,,,,,"NA, catch his own",50,Yes,NA,Placencia
11/14/2024 11:44:27,PLA 68,Female,White,>55,x,x,,,x,,,,"Tuna, covali jack","Fishboard, Fisher",,,,,,,,,50,5,Yes,"I do not eat shrimp and only purchase fresh fish in Belize from fishers. There is a community initiatives and training through Placencia town guide association and Fragments of Hope, SEA, BTIA, BTB",Placencia
11/14/2024 11:54:05,PLA 27,Female,Creole,35 - 44,x,x,,x,x,,,x,,"Local markets, Fisher",22,9,,5,6,,,6-10,80,,Yes,FoH coral restoration,Placencia
11/14/2024 11:56:00,PLA 8,,Creole,45 - 54,10,10,10,,20,,,20,,"Local markets, Fisher, Restaurants",40,10,5,,7,10,,5-6,150,33,Yes,"Oceana, bannery and gillnets",Placencia
11/14/2024 11:58:38,PLA 18,Male,Garifuna,>55,,,,x,x,x,,x,,"Local markets, Fisher, Restaurants",,,,8,8,10,,7,100,30,Yes,"our local fishers are careful of the size they bring home. Too small and very large are put back in the sea. Our tradition is that the large ones are aggers that should remain to populate the stock. Avoid destroying habitat like corals, mangroves etc.",Placencia
